ID,ProvName,ProvService,ProvUndiscl,ProvSpanish,ProvStreet,ProvCity,ProvState,ProvZIP,ProvLat,ProvLong,ProvWebsite,ProvPhone,ProvEmail,ProvDescr,LastUpdate
83,Allen Temple Food Pantry,GRO,FALSE,FALSE,4214 NE 8th Ave,Portland,OR,97211,45.55412,-122.65732,https://www.foodpantries.org/li/Portland_Or_Allen_Temple_Food_Pantry,503-284-1010,,Free Groceries.  HOURS: Wed: 11 am - 1 pm; Sat: 11 am - 1 pm. Closed first week of every month.,202108
84,SVDP St Andrew Free Food Market,"PRD, GRO",FALSE,FALSE,4940 NE 9th Ave,Portland,OR,97211,45.55862,-122.65651,https://standrewchurch.com/emergencyservices/,971-244-0339,,"Free Produce.  HOURS: Thurs: 1 pm - 2 pm, 4th Thursday of every month except November and December when we are open the 3rd Thursday due to Thanksgiving and Christmas. We encourage you to bring your own bag. Open to anyone, no ID required.",202108
86,School Pantry at Jefferson High School (SEI),GRO,FALSE,FALSE,5210 N Kerby Ave,Portland,OR,97217,45.56086,-122.67235,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-jefferson-high-school-sei,,,"Free Groceries.  HOURS: Tues: 1 pm - 3 pm.  New Opening! Weekly Tuesdays, except the last Tuesday of the month closed. Pre-made boxes/bags. Distribution on Commericial St. by gym.",202108
87,Salvation Army Moore St Center,GRO,FALSE,FALSE,5335 N Williams Ave,Portland,OR,97217,45.5618,-122.66725,https://moorestreet.salvationarmy.org/moore_street/food-services/,971-340-4010,,Free Groceries.  HOURS: Wed: 9 am - 1 pm; Fri: 9 am - 1 pm.,202108
88,Sharon Community Services SDA,GRO,FALSE,FALSE,5209 NE 22nd Ave,Portland,OR,97211,45.56094,-122.64355,https://foodfinder.oregonfoodbank.org/locations/sharon-community-services-sda,503-880-3065,,"Free Groceries.  HOURS: Sat: 2 pm - 4 pm. The last 2 Saturdays of the month, other days by emergency appointment only.",202108
89,SVDP St Rose,GRO,FALSE,FALSE,2727 NE 54th Ave,Portland,OR,97213,45.5427,-122.6077,https://strosepdxparish.org/st-vincent-de-paul-food-pantry,503-235-8431,,Free Groceries.  By Referral only. Call SVDP 503-235-8431 for Delivery.,202108
90,School Pantry at Lane Middle School (SUN/Latino Network),GRO,FALSE,FALSE,7200 SE 60th Ave,Portland,OR,97206,45.47132,-122.60084,https://www.pps.net/domain/4807,503-916-6355,,Free Groceries.  HOURS: Tues: 2:30 pm - 4 pm. Distribution at the back of the school on the south side by basketball court. Pre-boxed.,202108
91,Hillside Free Food Market,PRD,FALSE,FALSE,10203 SE Hillside Ct.,Milwaukie,OR,97222,45.4495,-122.6316,,503-702-1587,,"Free Produce.  HOURS: Tues: 9 am - 10:15 am. 4th Tuesday only. Open to anyone in need of food assistance, no income verification required. Please bring your own bag.",202108
92,Genesis Community Fellowship Food Pantry,GRO,FALSE,FALSE,5425 NE 27th Ave,Portland,OR,97211,45.56239,-122.63817,http://www.communitywalk.com/location/genesis_community_fellowship_food_pantry/info/10961129,503-281-9472,,Free Groceries.  HOURS: Sat: 1 pm - 3 pm. Open Saturdays from 1pm - 3:00 p.m. only.,202108
93,SVDP Ascension,GRO,FALSE,FALSE,743 SE 76th Ave,Portland,OR,97215,45.51765,-122.58669,https://foodfinder.oregonfoodbank.org/locations/svdp-ascension,503-235-8431,,Free Groceries.  HOURS: Wed: 5 pm - 6:30 pm; Thurs: 2 pm - 3:30 pm.,202108
94,SVDP Holy Redeemer,GRO,FALSE,FALSE,25 N Rosa Parks Way,Portland,OR,97217,45.57027,-122.66787,https://www.foodpantries.org/li/or_97217_holy-redeemer-st-vincent-de-paul,503-235-8431,,Free Groceries.  HOURS: Wed: 2:30 pm - 4 pm; Sat: 2:30 pm - 4 pm. Referral is strongly encouraged. Service Boundaries are from Ainsworth North to the Columbia River and from N. Interstate Ave. to NE 18th Ave.,202108
96,Bridger Elementary Free Food Market,PRD,FALSE,FALSE,7910 SE Market Street,Portland,OR,97215,45.51033,-122.58283,,503-502-1485,,"Free Produce.  HOURS: Fri: 3 pm - 5 pm. 3rd Fridays of the month. Outdoor distribution in the west parking lot. Shopping-style, walk-up program. Parking is on Market Street.",202108
97,SVDP St John the Baptist,GRO,FALSE,FALSE,10955 SE 25th Ave,Milwaukie,OR,97222,45.44414,-122.63709,https://foodfinder.oregonfoodbank.org/locations/svdp-st-john-the-baptist,503-235-8431,,Free Groceries.  Food boxes by referral only.,202108
98,"Feed the Hungry, Inc",DIN,FALSE,FALSE,2036 SE Jefferson,Milwaukie,OR,97222,45.4431,-122.64018,https://www.justserve.org/projects/3e9b7f36-d560-44e0-838a-d5d60f1812d9,503-654-3550,,Free Meals.  HOURS: Sun: 2:15 pm - 3 pm,202108
99,Tualatin Valley Gleaners,PRD,FALSE,FALSE,9100 SW Wilshire Street,Portland,OR,97225,45.50579,-122.77021,https://tualatinvalleygleaners.org/,503-719-9890,,Free Produce.  HOURS: Sat: 1:45 pm - 3 pm.,202108
100,Highland Christian Center,GRO,FALSE,FALSE,7600 NE Glisan St,Portland,OR,97213,45.52668,-122.58437,https://www.hcclive.com/food-bank/,503-287-9567,,Free Groceries.  HOURS: Fri: 10 am - 12 pm. Open every Friday except for holidays. Prepared boxes,202108
101,SVDP St Charles,GRO,FALSE,FALSE,5310 NE 42nd Ave,Portland,OR,97218,45.56174,-122.62007,https://www.stcharlespdx.org/food-help.html,503-235-8431,,"Free Groceries.  HOURS: Sat: 10 am - 12 pm. Open on Saturdays, other days by referral only",202108
103,Rigler Elementary Free Food Market,PRD,FALSE,FALSE,5401 NE Prescott,Portland,OR,97218,45.55645,-122.6083,,503-282-0555,,"Free Produce.  HOURS: Wed: 2:30 pm - 4 pm. Open 3rd Wednesday of the month. Open to anyone in need of food assistance, no income verification required.",202108
104,School Pantry at Harrison Park (SUN/IRCO),GRO,FALSE,FALSE,2225 SE 87th Avenue,Portland,OR,97216,45.50655,-122.57496,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-harrison-park-sun-irco,503-442-9962,,Free Groceries.  HOURS: Mon: 2 pm - 4 pm. Pre-boxed program.,202108
105,School Pantry at Woodlawn School (SUN/SEI),GRO,FALSE,FALSE,7200 NE 11th Avenue,Portland,OR,97211,45.57486,-122.65317,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-woodlawn-school-sun-sei,503-916-6282,,Free Groceries.  HOURS: Wed: 5 pm - 6:30 pm. Weekly program. Open to the public.,202108
106,Francis Center,GRO,FALSE,FALSE,6535 SE 82nd Ave,Portland,OR,97266,45.47533,-122.57933,https://www.franciscenterpdx.org/,"503-775-6784
503) 775-6784",,Free Groceries.  HOURS: Mon - Tues: 10 am - 2 pm; Wed - Thurs: 10 am - 2 pm. Prepared Boxes are distributed thru the basement door.,202108
108,Portland Open Bible Community Pantry & Food Market,"GRO, PRD",FALSE,FALSE,3223 SE 92nd Ave,Portland,OR,97266,45.49893,-122.56884,https://www.pobcpantry.com/,"503-442-8228, 503-282-0555",,"Free Groceries.  HOURS: Tues: 5 pm - 7 pm; Thurs: 10 am - 1 pm. *Shopping Style Pantry. Free Produce.  HOURS: 2nd Wednesday of the month from 11:00 a.m. - 1:00 p.m. Bring your own bags Open to anyone in need of food assistance, no income verification required.",202108
109,SVDP St Peter,GRO,FALSE,FALSE,8623 SE Woodstock,Portland,OR,97266,45.4796,-122.5741,https://stpeterpdx.org/st-vincent-de-paul,503-235-8431,,Free Groceries.  HOURS: Wed: 10 am - 11 am; Sat: 10 am - 11 am. Walk-in hours 10-11 on Saturdays. Call for referrals.,202108
110,School Pantry at Wichita Family Support Center (NCSD),GRO,FALSE,FALSE,6031 SE King Rd,Milwaukie,OR,97222,45.44804,-122.61697,https://www.nclack.k12.or.us/wichita/page/onsite-services,503-353-5663; 503-353-6091,,Free Groceries.  HOURS: Tues: 10 am - 2 pm; Thurs: 10 am - 2 pm. Open to students and families in the North Clackamas School District. Tue & Thu.,202108
111,School Pantry at Jason Lee School (Madison) (SUN/IRCO),GRO,FALSE,FALSE,3905 SE 91st Ave,Portland,OR,97220,45.49345,-122.57214,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-jason-lee-school-madison-sun-irco,503-407-8702,,Free Groceries.  HOURS: Fri: 2 pm - 4 pm. Pre-boxed program. Enter pantry from Thompson St.,202108
112,St Matthew Lutheran Pantry,GRO,FALSE,FALSE,10390 SW Canyon Rd,Beaverton,OR,97005,45.49196,-122.78423,https://smlcfamily.org/The-St-Matthew-Lutheran-Pantry-A-Community-Food-Ministry-,503-591-9025,,"Free Groceries.  HOURS: Mon: 6:30 pm - 7:30 pm. Tues: 5 pm - 6 pm. Last Sunday of the month only 1-2pm. 1st Wed of the month 11:30-12:30; 2nd,3rd, and 4th Wed. 6:30-7:30; Thursday 11:30-12:30 and 6:30-7:30. Drive through service or home delivery. Please call Care to Share for an appointment (503)591-9025",202108
113,School Pantry at Lent K-8 (SUN/IRCO),GRO,FALSE,FALSE,5105 SE 97th Avenue,Portland,OR,97266,45.48613,-122.56426,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-lent-k-8-sun-irco,503-453-4292,,Free Groceries.  HOURS: Mon: 2 pm - 4 pm. Located on the north end of campus by the portables. Premade bags. Open to the public.,202108
114,C3 Food Pantry,GRO,FALSE,FALSE,6120 NE 57th Ave,Portland,OR,97218,45.5673,-122.60413,https://c3nepdx.com/c3-food-pantry,503-997-2003,,Free Groceries.  HOURS: Tues: 12 pm - 1 pm. Sat: 12 pm - 1 pm.,202108
115,School Pantry at Kelly Elementary (SUN/Latino Network),GRO,FALSE,FALSE,9015 SE Rural,Portland,OR,97266,45.4715,-122.57053,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-kelly-elementary-sun-latino-network,503-780-9813; 503-916-3909,,Free Groceries.  HOURS: Wed: 2 pm - 3 pm. Distribution in the area between Kelly School and kelly Annex/Head Start. Please bring your own bags!,202108
117,Clackamas Service Center Day and Night Markets,GRO,FALSE,FALSE,8800 SE 80th Ave,Portland,OR,97206,45.46021,-122.58108,https://www.cscoregon.org/groceries,503-560-6178; 503-771-7914,,"Free Meals to go. Calendar of services: https://www.cscoregon.org/services-calendar.  Free Groceries, call (503)560-6178, leave a message with name, phone # and zip.",202108
119,SVDP St Louise,GRO,FALSE,FALSE,8101 SE Cornwell,Portland,OR,97206,45.46043,-122.58009,https://foodfinder.oregonfoodbank.org/locations/svdp-st-louise,503-235-8431,,Free Groceries.  HOURS: Tues: 1 pm - 3:30 pm; Fri: 1 pm - 3:30 pm. St. Louise is the Emergency Food Pantry at the SVDP Portland Council building. Walk-ins are welcome. We're not able to allow early signups or serve before or after these hours.,202108
120,Mainspring Portland (formerly FISH Emergency Services),GRO,FALSE,FALSE,3500 NE 82nd Avenue,Portland,OR,97220,45.5483,-122.57839,http://www.mainspringpdx.org/food,503-233-5533,,Free Groceries.  HOURS: Tues - Wed: 9:30 am - 12 pm; Thurs: 9:30 am - 12 pm.,202108
121,Ortiz Center Free Food Market,PRD,FALSE,FALSE,6736 NE Killingsworth,Portland,OR,97218,45.56244,-122.59326,https://foodfinder.oregonfoodbank.org/locations/ortiz-center-free-food-market,503-988-3509,,"Free Produce.  HOURS: Wed: 11:30 am - 1 pm. Open weekly on Wednesdays. Open to anyone in need of food assistance, no income verification required, random number given at start of distribution. Please bring your own bag.",202108
122,EMO NE Emergency Food Program,GRO,FALSE,FALSE,4800 NE 72nd Ave,Portland,OR,97218,45.55808,-122.58853,https://emoregon.org/nefp/,503-284-5470,,"Free Groceries.  HOURS: Thurs: 12 pm - 3 pm; Sat: 12 pm - 3 pm. Prepared boxes. Drive up & stay in car, or walk up following social distancing.",202108
123,Impact NW,"PRD, RNT, YTH, EGY,",FALSE,FALSE,10055 E Burnside St,Portland,OR,97216,45.52297,-122.55967,https://impactnw.org/need-help/,503-721-1740,@impactnw.org,"Free Produce.  HOURS: Fri: 9 am - 10 am; 4th Friday of every month. Please bring your own bags. Open to anyone in need of food assistance, no income verification required.",202108
124,SVDP Blessed Frederic at Holy Cross,GRO,FALSE,FALSE,5227 N Bowdoin St,Portland,OR,97203,45.5814,-122.72355,https://www.holycrosspdx.org/holy-cross-church/st-vincent-de-paul/,503-235-8431,,Free Groceries.  HOURS: Tues: 10 am - 12 pm; Thurs: 5:30 pm - 7 pm; Fri: 10 am - 12 pm.,202108
125,Black Mental Health Oregon Free Food Market,PRD,FALSE,FALSE,8501 N Chautauqua Blvd,Portland,OR,97217,45.58536,-122.70845,https://static1.squarespace.com/static/5a0de0f94c0dbf779166a592/t/5fff3cb48d2a477b6794d040/1610562745284/Black+Mental+Health+Oregon+Free+Food+Market.pdf,503-282-0555,,Free Produce.  HOURS: Thurs: 12 pm - 2 pm.,202108
126,School Pantry at Cherry Park Elementary School (SUN/MFS),GRO,FALSE,FALSE,1930 SE 104th Avenue,Portland,OR,97216,45.50861,-122.55517,https://cp.ddouglas.k12.or.us/food-pantries/,503-232-0007,,Free Groceries.  HOURS: Mon: 3:45 pm - 5:15 pm. Open to the public. Pre-box drive-up and walk-up program at the front of the school.,202108
127,Hereford House Food Pantry,GRO,FALSE,FALSE,7704 N Hereford Ave,Portland,OR,97203,45.58244,-122.72181,https://www.herefordhousepdx.org/about/,503-706-2500,,"Free Groceries.  HOURS: Fri - Sat: 12 pm - 2 pm. Prepared boxes, drive up service.",202108
128,Milwaukie Spanish Seventh Day Adventist,GRO,FALSE,FALSE,10110 SE Linwood Ave.,Milwaukie,OR,97222,45.44657,-122.59899,https://foodfinder.oregonfoodbank.org/locations/milwaukie-spanish-seventh-day-adventist,503-756-3931,,Free Groceries.  HOURS: Wed: 7:30 pm - 8:30 pm. 2nd and 4th Wednesday. Please call for schedule.,202108
129,School Pantry at Cesar Chavez Elem (SUN/Latino Network),GRO,FALSE,FALSE,5103 N Willis Blvd,Portland,OR,97203,45.585049,-122.71949,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-cesar-chavez-elem-sun-latino-network,503-970-0235,,Free Groceries.  HOURS: Wed: 1:30 pm - 3 pm. Outdoor distribution. Pre-boxed.,202108
130,School Pantry at Floyd Light (SUN/EPHC),GRO,FALSE,FALSE,10800 SE Washington St,Portland,OR,97216,45.51673,-122.55238,https://foodfinder.oregonfoodbank.org/locations/school-pantry-at-floyd-light-sun-ephc,503-501-0922,,Free Groceries.  HOURS: Mon: 4 pm - 5:30 pm. Pre-boxed program distributed at the front of the school.,202108
131,Cherry Blossom Free Food Market,PRD,FALSE,FALSE,740 SE 106th Ave,Portland,OR,97216,45.51603,-122.55297,https://www.mowp.org/dining-center-locations/cherry-blossom-center/,"503-282-0555, 503-953-8104",,"Free Produce.  HOURS: 9am, 3rd Wednesday of the month. Please bring your own bag. Open to anyone in need of food assistance - no income verification required.",202108
132,Good Roots Community Church,GRO,FALSE,FALSE,1908 SE Courtney Rd.,Milwaukie,OR,97222,45.42216,-122.64386,https://www.goodrootscommunity.com/serve,503-702-8837,,"Free Groceries.  HOURS: Sat: 10 am - 12 pm. Prepacked fruits, veggies and groceries. Pick your own garden veggies. Community Garden - Give what you can, take what you need, always open.",202108
133,University Park Seventh Day Adventist Free Food Market,PRD,FALSE,FALSE,4007 N Alaska Ave,Portland,OR,97203,45.58836,-122.70859,https://foodfinder.oregonfoodbank.org/locations/university-park-seventh-day-adventist-free-food-market,503-282-0555,,"Free Produce.  HOURS: 1st Friday of the month, 11 am - 12 pm - first come first served. Please bring your own bag. 11 am until done - open to anyone in need of food assistance, no income verification required.",202108
134,University Park ACS,"GRO, CLO",FALSE,FALSE,4007 N Alaska Ave,Portland,OR,97203,45.58836,-122.70859,http://uparksda.org/community-services-university-park-portland-oregon.html,"503-397-4389
503) 397-4389",,Free Groceries.  HOURS: Wed: 5 pm - 7 pm. Clothes available from 1-3 pm on Wednesdays. *Shopping style pantry.,202108
135,School Pantry at Earl Boyles Elementary (IRCO),GRO,FALSE,FALSE,10822 SE Bush St,Portland,OR,97266,45.49411,-122.55194,https://eb.ddouglas.k12.or.us/food-pantry-open-on-tuesdays/,503-256-6554,,"Free Groceries.  HOURS:  Tues: 2:30 pm - 4:30 pm. Outdoor pre-boxed distribution at front of the school. 2:30-3:30pm open to the public, 3:30-4:30pm open to school families only.",202108
136,True Life Christian Center Food Pantry,GRO,FALSE,FALSE,5497 SE International Way,Milwaukie,OR,97222,45.43218,-122.60598,https://www.tlfchurch.com/food-pantry,503-656-5433,,"Free Groceries.  HOURS: Tues: 5:30 pm - 6:30 pm. 2nd & 4th Tuesday of the month. Please drive to the back of the warehouse. Look for orange cones. We will bring groceries to your car. Masks are required if you're ""shopping"" the table.",202108
